image_filename,게시물수,팔로워수,팔로잉수,프로필 링크,촬영 구도,동작,인물 수,의상,색감_분위기_통합,고유한 특징,url1,url2,url3
camengzzi_01.jpg,528,2.6만,247,,"근접샷,전신샷","미소/웃음, 포옹/키스",3명 이상,"캐주얼 의상, 웨딩 드레스, 턱시도","따뜻한, 로맨틱, 부드러운, 행복한","자연광 활용, 화사함",https://scontent-nrt1-2.cdninstagram.com/v/t39.30808-6/468073261_17965660106811389_5466792347857173042_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=9aArTkIEdg4Q7kNvgHCHL5d&_nc_gid=e61d07e63db145019c4c8cf9ea1b62b0&edm=APoiHPcAAAAA&ccb=7-5&ig_cache_key=MzQ1MTAwMTE3NzYwODI5ODQ3Mg%3D%3D.3-ccb7-5&oh=00_AYB8f_YPY7eDeGjyAU3r0eqlGtDcRoUxzakFvunsYfkCKg&oe=676C7575&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t39.30808-6/468092040_17965660121811389_7444086176972706996_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=6uN-NbBUkFoQ7kNvgFdgzBw&_nc_gid=e61d07e63db145019c4c8cf9ea1b62b0&edm=APoiHPcAAAAA&ccb=7-5&ig_cache_key=MzQ1MTAwMDIxMjkwMTcyMTY1Nw%3D%3D.3-ccb7-5&oh=00_AYB9IVK7-Svarne-AfkdmY2CyRvmF4yMH2PRNZO4wsB3HQ&oe=676C5CBE&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t39.30808-6/468212336_17965660181811389_223059155022847292_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=Np9fHnaEQGIQ7kNvgE38s7M&_nc_gid=e61d07e63db145019c4c8cf9ea1b62b0&edm=APoiHPcAAAAA&ccb=7-5&ig_cache_key=MzQ0OTcwMDg0OTAzMDA5Mjg3NQ%3D%3D.3-ccb7-5&oh=00_AYAZOijvYNq9rioi3TnqxWgyg6gOYd2bRjgyL9kHByMDAw&oe=676C5B91&_nc_sid=22de04
youngho_gogo_02.png,737,8만,363,,전신샷,포옹/키스,2명,캐주얼,"감성적, 따스한, 로맨틱, 화사한","자연스러움, 친밀함",https://scontent-nrt1-1.cdninstagram.com/v/t39.30808-6/433234649_18409649968066995_8167936319247726483_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=0Cag0ckVWdMQ7kNvgHlilqU&_nc_gid=2f40f4ae6d82447099bbb982704a8003&edm=APoiHPcAAAAA&ccb=7-5&ig_cache_key=MzMzMzU4NjUwMTkwNzUyNDg4NQ%3D%3D.3-ccb7-5&oh=00_AYCx8Qfvgag1AQ_Agp2dEyn9it3xEgs-0JfM_hjC2edl3Q&oe=676C7607&_nc_sid=22de04,https://scontent-nrt1-1.cdninstagram.com/v/t39.30808-6/433192042_18409186993066995_3600813000456013489_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=_Bx8RYZvwAMQ7kNvgFBnXYe&_nc_gid=2f40f4ae6d82447099bbb982704a8003&edm=APoiHPcAAAAA&ccb=7-5&ig_cache_key=MzMzMTQ2MjY1MjA3MjA4NjQ0Ng%3D%3D.3-ccb7-5&oh=00_AYAaQvhIBc3rADaiua_Cc_3ocC9t4kUtcki6JgJajgUA8g&oe=676C6FA7&_nc_sid=22de04,https://scontent-nrt1-1.cdninstagram.com/v/t39.30808-6/433045143_18408489598066995_6343558231646911566_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYzMDgwOC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=1IrZdg4-E18Q7kNvgF0pb3L&_nc_gid=2f40f4ae6d82447099bbb982704a8003&edm=APoiHPcAAAAA&ccb=7-5&ig_cache_key=MzMyODUzNjc4OTcyMjY4NDA3Nw%3D%3D.3-ccb7-5&oh=00_AYDDikLhTDc2gWKqII5R6sjza0ocpXRnOaN-B4VjIioAGg&oe=676C90BA&_nc_sid=22de04
w.yeowoon_02.png,693,6만,46,,전신샷,"정적 포즈, 걷기/움직임",2명,캐주얼,"빈티지, 자연스러운","일상적, 친근함",https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/454729158_1029047268597927_8930271439096051719_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=BKwNHoXXbzkQ7kNvgGlSmN3&_nc_gid=5e31d4a19be1474d9379454c12b2d89b&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQzMjI2NjQxOTI4OTMzNTE2OA%3D%3D.3-ccb7-5&oh=00_AYBRzeRz9O6P8EI0UikYYkMAqydwwjX2rbATa6gtPRFc1Q&oe=676C766D&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/454922786_909418711019326_8591729091215486603_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=bFykAU3ycsoQ7kNvgHNmeUg&_nc_gid=5e31d4a19be1474d9379454c12b2d89b&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQzMTU1OTgzNTk0MDY2MDkxMQ%3D%3D.3-ccb7-5&oh=00_AYBI3IDh9uAw1_HByMIxZWheXdMfT54zIgjkpJRSGm2QGA&oe=676C9802&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/454141667_366883119603976_7737734498926654886_n.jpg?stp=dst-jpg_e35_p1080x1080_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=Kb2OWI_mOgMQ7kNvgFc3VuQ&_nc_gid=5e31d4a19be1474d9379454c12b2d89b&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQyNzE5MTI5NjQ5OTI1MTQ0MA%3D%3D.3-ccb7-5&oh=00_AYAHjadfN1jKvJq-HGV66xsUVl00ss_b2u3YoVOKBlBLYg&oe=676C6561&_nc_sid=22de04
anonnuit_01.png,359,6.4만,163,,"반신샷,전신샷","손잡기/애정 표현, 소품 활용",2명,"캐주얼, 군복","따뜻한, 로맨틱, 부드러운, 자연스러운","일상적 친밀감, 자연 속 배경",https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/434331239_1321933081817057_3605879937797752024_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=V0oz4wygU5AQ7kNvgEYVz3P&_nc_gid=72a8a3c976c4444bba19ec15b67f45f9&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzMzMTQyODA5NTY4ODExMjEyNQ%3D%3D.3-ccb7-5&oh=00_AYBnlCX6BGGlhiu2Fc-ovQrWaqpa-6vdQwhnucmzJLnv2Q&oe=676C86C5&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/434170602_1086883442531940_2211422340387590855_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=100&_nc_ohc=CeHYbxmNat0Q7kNvgGG3QK2&_nc_gid=72a8a3c976c4444bba19ec15b67f45f9&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzMyOTI1MzU1OTcxODY1MzIyNg%3D%3D.3-ccb7-5&oh=00_AYAzYeJFwZUCu3HA3rysWkaLgWNJ29fRRUG3hzyV2ihogw&oe=676C8764&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/434069491_674876984668444_2018017849033461059_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=yzjlyNDihzQQ7kNvgEn0P-r&_nc_gid=72a8a3c976c4444bba19ec15b67f45f9&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzMyNzg0NjAxOTIzNTYyNDQ1Mw%3D%3D.3-ccb7-5&oh=00_AYC6JhAaHnMXZz-6Bpc2FoVYfSPbGhP5QvBlXaeZA4EH_A&oe=676C8F23&_nc_sid=22de04
anonnuit_02.png,359,6.4만,163,,반신샷,포옹/키스,2명,캐주얼,"따뜻한, 로맨틱, 소프트한, 자연스러운, 친밀한, 행복한","자연스러운 연출, 편안함",https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/323679532_1682141662180791_4517866529325071513_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=FOxB0mb5MYkQ7kNvgG9oMJq&_nc_gid=4b91a29a59a84d1f82f5552cb68f1124&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzAwODg3NDYxOTkzMjExMDU4NA%3D%3D.3-ccb7-5&oh=00_AYCiY8arDi7WWS4Ntezez8rNt8jBuKDN9WY7AE3YPaMiHQ&oe=676C8F2A&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/323357857_129892313052856_6869738636521196611_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=RgtoBPWfPtAQ7kNvgEwS6pp&_nc_gid=4b91a29a59a84d1f82f5552cb68f1124&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzAwNjY4NjcxMzIxODAyMDQ4MQ%3D%3D.3-ccb7-5&oh=00_AYD_nQw36FbI-2mJaQk6sVzTIGN15HM6xUxhnIv-M4YMRw&oe=676C78D1&_nc_sid=22de04,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/322427584_234056468952644_2398696827479382235_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=N2ewjYhqgRQQ7kNvgH5BgGj&_nc_gid=4b91a29a59a84d1f82f5552cb68f1124&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzAwNDUwOTcyMzI2MjE2MDE0Ng%3D%3D.3-ccb7-5&oh=00_AYAvM_KjfGlZXlmTYxeJ8awg_NC4uZy303YletQycTG2Kg&oe=676C8D2A&_nc_sid=22de04
cherrybuttercake.snap_01.png,316,1.1만,308,,"근접샷,반신샷",포옹/키스,2명,"웨딩 드레스, 턱시도","감성적, 따뜻한, 로맨틱, 부드러운","자연스러움, 감정 표현 강조",https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/458323562_481461704657387_5069091320387077979_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=efHES-OTCfgQ7kNvgFuU6mY&_nc_gid=da97b0eb2883407abdbad41d4f24be08&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ0ODM1MjMzMDI4OTI1OTExMg%3D%3D.3-ccb7-5&oh=00_AYCgyJ20togp-pEMoLVqLXjp3ova3H8ETf6Jsv6_GnCorw&oe=676C8305&_nc_sid=22de04,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/458209699_1558837128041615_7806100169157309882_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE3OTkuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=HyH2CZnMJucQ7kNvgGpE9u9&_nc_gid=da97b0eb2883407abdbad41d4f24be08&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ0NzkxMTkwMzAwMTU1NTAzNA%3D%3D.3-ccb7-5&oh=00_AYAN8MsszVx5Gyown4DBf-h9Y-2rxl1RyxIRwr_dlU3xTA&oe=676C704A&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/457467908_1043607480054331_5297323983313953204_n.jpg?stp=dst-jpg_e35_s720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDk1OS5zZHIuZjI5MzUwLmRlZmF1bHRfaW1hZ2UifQ&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=x-JLp66U4Z8Q7kNvgGwebAz&_nc_gid=da97b0eb2883407abdbad41d4f24be08&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ0NTk3ODUyOTIyNzc5NTc3Ng%3D%3D.3-ccb7-5&oh=00_AYBymSXXgo8niYbmUITraM1gkDICto2CL6DKq7uOyzS2pg&oe=676C690F&_nc_sid=22de04
oev.official_01.png,115,4.4만,321,,"근접샷,전신샷",포옹/키스,2명,웨딩 드레스,"감성적, 따뜻한, 로맨틱, 자연스러운","자연광 활용, 친밀함 강조",https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/463082745_1291764032020198_7209689221306683390_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=byP51IsFRz4Q7kNvgHzKP1n&_nc_gid=f73bb49b4d8345c8a5dbbe083aab73b2&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ3ODYyODAwMDg1Njg4ODc4NQ%3D%3D.3-ccb7-5&oh=00_AYDIHlfMqbJdBeiKEIw7edUGnkDwbob3OOhfF6Eebm1_aQ&oe=676C6BAE&_nc_sid=7a9f4b,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/462308934_527124636720681_4844967467655838900_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=NSmrUE_3t3sQ7kNvgGxnVYz&_nc_gid=f73bb49b4d8345c8a5dbbe083aab73b2&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQ3NDIwODM1NTExMTk4MDYzNQ%3D%3D.3-ccb7-5&oh=00_AYBl15ItWV30Rqzt1tI__ktcq5cFD7dPABwSH4AX6o94IQ&oe=676C7F44&_nc_sid=7a9f4b,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/450570607_461200970039711_694884503487571331_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMzUweDE2ODcuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=Cr6dcBDqwwYQ7kNvgH-M4ja&_nc_gid=f73bb49b4d8345c8a5dbbe083aab73b2&edm=AP4sbd4BAAAA&ccb=7-5&ig_cache_key=MzQwOTA0NDc5NjA4Njc3MjkwMQ%3D%3D.3-ccb7-5&oh=00_AYAFqoq6CIdxD6QXQUiVgAhmTR-KK0mA2w19WrZZupPC6w&oe=676C6C45&_nc_sid=7a9f4b
oev.official_02.png,115,4.4만,321,,"근접샷,전신샷","정적 포즈, 손잡기/애정 표현",2명,"웨딩 드레스, 캐주얼","감성적, 대비감, 따뜻한, 로맨틱, 어두운, 친밀한","조명 활용, 그림자, 감정 표현",https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/446527836_7903597779703399_2484209304926036985_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=107&_nc_ohc=tmOXVkVUd-0Q7kNvgG2Kohm&_nc_gid=b24f904fc8a54802bf78a167a13ce5c3&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM3NzY2MzU0MDYzMTkwMTM3Mg%3D%3D.3-ccb7-5&oh=00_AYCnWUXn8SWd5dDdtO4IdO0JEFhoG63i-ClVQOo-sGK-xw&oe=676C8EDD&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/446126229_1112572279850638_2037882756997762303_n.jpg?stp=dst-jpg_e35_s720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xMDgweDEwODAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=110&_nc_ohc=IDsLIV49jEIQ7kNvgGkc_3t&_nc_gid=b24f904fc8a54802bf78a167a13ce5c3&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM3NjQ0ODg2MjQyNTUwMjAwNg%3D%3D.3-ccb7-5&oh=00_AYCmSYPNlMgHDbDI_6aoEiHceHaUCsmFHC7S3e4mBCx16Q&oe=676C7D78&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/445919008_972657484252229_1222521955244161177_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=105&_nc_ohc=LoMZRrpnWYsQ7kNvgGzXxxQ&_nc_gid=b24f904fc8a54802bf78a167a13ce5c3&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM3NDg4MzM5NjAyOTgxNDc5Nw%3D%3D.3-ccb7-5&oh=00_AYBUM6dpCmHwBudYuZn6lQNY0NntMEq9EXF2KFCEsWGn2Q&oe=676C755E&_nc_sid=22de04
oev.official_03.png,115,4.4만,321,,"근접샷,전신샷","미소/웃음, 걷기/움직임",2명,"웨딩 드레스, 턱시도","감성적, 따뜻한, 로맨틱, 빈티지","자연스러움, 친밀함",https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/440919399_979052290512495_400301633435258031_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=Ra8vfVn4phMQ7kNvgGOYR1I&_nc_gid=4272296aec7f43a2b7b4789e1456ad87&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM1NjgwMDQyNjQyODQ4MjQ1Mg%3D%3D.3-ccb7-5&oh=00_AYA7UjgQrtBHidUOQf8hC3jEzBNP389EhnZYufzqKD-r3w&oe=676C6A07&_nc_sid=22de04,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/440527274_3404867786484584_8351904078841569581_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=ok3nNkl4EuoQ7kNvgFxEwbb&_nc_gid=4272296aec7f43a2b7b4789e1456ad87&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM1NDAzODczNTU0NjU0NzA3Ng%3D%3D.3-ccb7-5&oh=00_AYCfDnxEMADzGKd8Ab3_y-LdECZ2Knkgk1zVvqB16RugPA&oe=676C94FD&_nc_sid=22de04,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/439564020_449370770961123_4464526556638325947_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=9VVSt6INBpcQ7kNvgHIdMl9&_nc_gid=4272296aec7f43a2b7b4789e1456ad87&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzM1MzEzMzgxMTA3MDc3NTQ1Mw%3D%3D.3-ccb7-5&oh=00_AYC7Ik2HMKPKZTn6RS8ky1xOtXPYa3qgSm1y_MTB018SBA&oe=676C9147&_nc_sid=22de04
filmdenini_01.png,320,2.7만,218,,"반신샷,전신샷",포옹/키스,2명,"웨딩 드레스, 턱시도, 캐주얼","따뜻한, 로맨틱, 자연스러운, 행복한","자연광 활용, 감성적 연출",https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/462589665_397486656741327_8161005641147550130_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=hKsTMM3gNNMQ7kNvgE7r4BQ&_nc_gid=cd2a25ba7d624e22a957e9b11dddb3a7&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ3NTQ2NzAzNTM5NTA3MjU0Mw%3D%3D.3-ccb7-5&oh=00_AYCovtuKPRtc8ghuP4mHom2jiCaBMGzMcR0bCUP7Fk8BIw&oe=676C997D&_nc_sid=22de04,https://scontent-nrt1-2.cdninstagram.com/v/t51.29350-15/461995242_845352811114828_3068154841834559597_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-2.cdninstagram.com&_nc_cat=104&_nc_ohc=GaNAbOqMmroQ7kNvgHxweEB&_nc_gid=cd2a25ba7d624e22a957e9b11dddb3a7&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ3NDEzMzg4MzkwMjI1NDUzMA%3D%3D.3-ccb7-5&oh=00_AYDQXZWJj4AVtOXmQwAKiNlrGJ9PD2kzR-khQyyZZBYtDw&oe=676C6808&_nc_sid=22de04,https://scontent-nrt1-1.cdninstagram.com/v/t51.29350-15/461735840_1885904558563893_2138704460013880945_n.jpg?stp=dst-jpg_e35_p720x720_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6ImltYWdlX3VybGdlbi4xNDQweDE4MDAuc2RyLmYyOTM1MC5kZWZhdWx0X2ltYWdlIn0&_nc_ht=scontent-nrt1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=PayDV-HcEqIQ7kNvgHL4GuC&_nc_gid=cd2a25ba7d624e22a957e9b11dddb3a7&edm=APoiHPcBAAAA&ccb=7-5&ig_cache_key=MzQ3MDAwNDExMDMyMDY5MDczNQ%3D%3D.3-ccb7-5&oh=00_AYBve36mW2DwzKujfpHyzSbBchDBlzoNvI-3DvA8mtQofw&oe=676C7805&_nc_sid=22de04
