                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4082,                 1.6109,                  1.846,                 1.4283,                 1.8192,                 1.8146,                0.75559,                0.64021,                 0.7248,                0.40053,                 1.0549,                 4.6191,                 1.4846,                 1.0014,                 1.6012,                 1.3891,             0.00066106,             0.00066106,             0.00066106
                      2,                 1.4558,                 1.6254,                 1.8915,                 1.4641,                 1.8424,                 1.8566,                0.57679,                0.39153,                0.48639,                0.23003,                 1.1361,                 10.702,                 1.5253,                 1.0809,                 2.6467,                 1.3769,              0.0013014,              0.0013014,              0.0013014
                      3,                 1.5241,                 1.6965,                 1.9921,                 1.5548,                 1.9119,                  1.968,                0.53171,                 0.2963,                0.34452,                0.16949,                 1.2082,                 27.926,                 1.5414,                  1.102,                 6.3252,                 1.4882,              0.0019154,              0.0019154,              0.0019154
                      4,                 1.5873,                 1.8782,                 2.0206,                 1.5541,                 2.1152,                 1.9623,                 0.3592,                0.37566,                0.29362,                0.12436,                 1.3898,                 29.008,                 1.9315,                 1.3426,                 7.4642,                 1.8524,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.5649,                 1.8293,                 1.9925,                 1.5566,                  2.048,                 1.9299,                0.45166,                 0.5291,                   0.46,                0.21636,                 1.1678,                 17.965,                 1.5473,                 1.1022,                 6.8052,                 1.4837,              0.0018812,              0.0018812,              0.0018812
                      6,                  1.529,                 1.8161,                 1.9897,                 1.5394,                 2.0231,                 1.9407,                0.31297,                 0.4709,                0.35054,                0.15142,                 1.3805,                 21.869,                 1.8646,                 1.2295,                 6.4964,                 1.6491,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.5003,                 1.7026,                 1.9397,                 1.5076,                 1.9605,                 1.9077,                0.46257,                0.43915,                0.43842,                0.21142,                 1.2621,                 12.732,                 1.6995,                 1.1709,                 3.6577,                 1.5967,               0.001802,               0.001802,               0.001802
                      8,                 1.5141,                 1.6698,                 1.9644,                  1.509,                 1.8325,                 1.9288,                0.67765,                0.50054,                0.56283,                0.28087,                 1.1136,                 4.2208,                 1.4985,                 1.0915,                 1.8767,                 1.4538,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.4845,                 1.7306,                 1.9426,                 1.5237,                 1.8946,                 1.9366,                0.37037,                0.53968,                0.43819,                0.22167,                 1.1657,                 19.189,                 1.6306,                 1.0829,                 5.9887,                 1.4835,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.4529,                 1.6773,                 1.9219,                 1.4958,                 1.8756,                 1.9285,                0.49718,                0.59259,                0.53948,                0.27641,                 1.0536,                 8.4647,                 1.5048,                 1.0715,                 2.1399,                 1.4965,              0.0016832,              0.0016832,              0.0016832
