SAMPLE_ID,Source,Source_path,Question,Answer
TRAIN_000,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 중앙정부 재정체계는 어떻게 구성되어 있나요?,"2024년 중앙정부 재정체계는 예산(일반·특별회계)과 기금으로 구분되며, 2024년 기준으로 일반회계 1개, 특별회계 21개, 기금 68개로 구성되어 있습니다."
TRAIN_001,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 중앙정부의 예산 지출은 어떻게 구성되어 있나요?,"2024년 중앙정부의 예산 지출은 일반회계 356.5조원, 21개 특별회계 81.7조원으로 구성되어 있습니다."
TRAIN_002,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,기금이 예산과 다른 점은?,"기금은 예산과 구분되는 재정수단으로서 재정운영의 신축성을 기할 필요가 있을 때, 정부가 편성하고 국회에서 심의・의결한 기금운용계획에 의해 운용됩니다."
TRAIN_003,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"일반회계, 특별회계, 기금 간의 차이점은 무엇인가요?","일반회계는 특정 사업 운영 및 특정 세입으로 특정 세출을 충당하는데 사용되고, 특별회계는 특정 목적을 위해 특정 자금을 운용하며, 기금은 재정운영의 신축성을 기할 필요가 있을 때 사용됩니다."
TRAIN_004,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 총수입은 얼마이며, 예산수입과 기금수입은 각각 몇 조원인가요?","2024년 총수입은 612.2조원이며, 예산수입은 395.5조원, 기금수입은 216.7조원입니다."
TRAIN_005,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년도 예산수입은 어떻게 구성되어 있나요?,"2024년도 예산수입은 국세수입 367.3조원, 세외수입 28.2조원으로 구성되어 있습니다."
TRAIN_006,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년의 기금수입은 어떻게 구성되어 있나요?,"2024년도 기금수입은 사회보장성기금 92.3조원, 경상이전수입 39.6조원, 기타 84.7조원으로 구성되어 있습니다."
TRAIN_007,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 국세수입은 얼마이며, 일반회계와 특별회계의 규모는 각각 얼마인가요?","2024년 국세수입은 367.3조원이며, 일반회계는 356.1조원, 특별회계는 11.2조원입니다."
TRAIN_008,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년도 국세수입 중 일반회계 내국세수입은 몇 조원인가요?,2024년도 일반회계 내국세수입은 321.6조원입니다.
TRAIN_009,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년도 세외수입 규모와 구성은 어떤가요?,"2024년 세외수입은 일반회계에서 11.2조원, 특별회계에서 17.0조원으로 나타났습니다."
TRAIN_010,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 기금수입 중 가장 큰 비중을 차지하는 항목은 무엇인가?,기금수입 중 가장 큰 비중을 차지하는 항목은 사회보장성기금 기여금이다.
TRAIN_011,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 총지출 기준 예산의 일반회계와 특별회계의 비중이 각각 얼마인가?,2024년 총지출 중 일반회계와 특별회계의 비중은 각각 54.3%와 12.4%이다.
TRAIN_012,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년도 총계 기준 재정규모는 얼마이며, 예산과 기금은 각각 몇 조원으로 구성되어 있는가?","2024년도 총계 기준 재정규모는 1,573.3조원이며, 예산은 550.0조원, 기금은 1,023.3조원으로 구성되어 있다."
TRAIN_013,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"내부거래지출이란 무엇을 의미하며, 어떤 종류의 거래를 포함하고 있는가?","내부거래지출은 회계 간, 회계・기금 간, 기금 간 거래를 의미하며, 사업비 보전을 위한 전입・전출, 여유자금의 공공자금관리기금에 예수・예탁 등을 포함하고 있다."
TRAIN_014,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"보전지출이란 무엇을 의미하며, 어떤 상황에서 발생하는가?","보전지출은 회계 또는 기금의 민간차입 상환(국채상환), 남은 자금의 금융기관 예치(기금여유자금 운용) 등을 의미하며, 민간차입 상환이나 자금의 운용 상황에서 발생한다."
TRAIN_015,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년에 일반회계의 총지출은 얼마이며, 중앙정부 총지출 대비 어느 정도의 비율을 차지하는가?","2024년에 일반회계의 총지출은 356.5조원으로, 중앙정부 총지출(656.6조원)의 54.3%를 차지하고 있다."
TRAIN_016,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 예산 기준 특별회계는 얼마이며, 중앙정부 총지출 대비 어느 정도의 비율을 차지하는가?",2024년 예산 기준 특별회계는 81.7조원으로 중앙정부 총지출의 12.4%를 차지한다.
TRAIN_017,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 기준으로 중앙정부의 인건비 편성 사업 규모와, 총지출 대비 인건비 사업 비중은 얼마인가?","2024년 기준으로 중앙정부의 인건비 편성 사업 규모는 46.1조원이며, 총지출의 7.0%를 차지한다."
TRAIN_018,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년 총지출 대비 자본지출 비중은 얼마인가요?,2024년 총지출 대비 자본지출의 비중은 6.1%입니다.
TRAIN_019,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2020년 결산 기준, 연구개발비 중 개발연구 규모는 몇 억원인가?",2020년 결산 기준 연구개발비 중 개발연구 규모는 78754억원이다.
TRAIN_020,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,세출예산현액이란?,"예산 확정 후 전년도로부터의 이월액 반영, 추경 편성, 기금운용계획 변경, 이용・전용, 예비비 증액 등을 반영한 것으로, 실제 지출할 수 있는 한도액을 의미한다."
TRAIN_021,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 국가 예산의 다음 연도 이월액은 몇 조원인가?,2022년 국가 예산의 다음 연도 이월액은 4.9조원이다.
TRAIN_022,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 국가 예산의 불용액은 몇 조원인가?,2022년 국가 예산의 불용액은 14.8조원이다.
TRAIN_023,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2022년 기준, 일반회계, 특별회계, 기금의 집행률은?","2022년 기준, 집행률은 일반회계 97.3%, 특별회계 94.7%, 기금 97.6%"
TRAIN_024,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2022년 기준, 일반회계와 기타특별회계의 이월금 차지 비율은 얼마인가?","일반회계와 기타특별회계의 이월금 차지 비율은 2022년에 각각 56.9%, 35.3%로 나타났다."
TRAIN_025,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 결산 기준으로 사회보험성기금의 이월금 규모는 몇 억원인가요?,223억원입니다.
TRAIN_026,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2017년부터 2022년까지의 사업성기금의 연도별 이월금 규모 추이는 어떠한가?,"사업성기금의 이월금은 2017년 3,510억원, 2018년 3,803억원, 2019년 4,056억원, 2020년 1,679억원, 2021년 2,931억원, 2022년 3,305억원으로 변동하였다."
TRAIN_027,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년 기준으로 국내총생산 대비 일반정부부채와 공공부문 부채의 비중은 각각 몇 퍼센트인가?,"일반정부부채(D2)는 53.5%, 공공부문 부채(D3)는 73.5%이다."
TRAIN_028,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2022년 기준, 국가 재무제표상 부채는 얼마이며, 이는 어떻게 구성되어 있는가?","2022년 결산 기준, 국가 재무제표상 부채는 2,326.0조원이며, 부채는 장기충당부채 1,243.2조원, 장기차입부채 812.2조원, 유동부채 220.0조원 등으로 구성되어 있다."
TRAIN_029,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2022년에 순자산은 얼마이며, 전년 대비 어떻게 변화했는가?","2022년 기준, 순자산은 507.6조원으로, 전년 대비 163.1조원 감소했다."
TRAIN_030,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"국가채무와 일반정부부채, 공공부문부채를 작성하는 데 있어 회계기준의 차이점은 무엇인가요?","국가채무는 국가재정법과 지방재정법에 따라 현금주의 기준으로 순계 합산되며, 일반정부부채는 국가채무 추계 대상에 비영리공공기관을 더해 발생주의 기준으로 순계 합산하여 산출합니다. 공공부문부채는 일반정부부채에 비금융공기업의 부채를 발생주의 기준으로 순계 합산하여 산출합니다."
TRAIN_031,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,국가채무의 산출 기준은?,"국가재정법 및 지방재정법상 재정관리 주체인 중앙정부, 지방자치단체, 교육청의 부채를 현금주의 기준으로 순계 합산하여 산출한다."
TRAIN_032,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,발생주의와 현금주의의 부채 인식 방식에는 어떤 차이가 있나요?,"현금주의는 채무 수납과 지급 시점을 기준으로 수입과 비용을 인식하는 반면, 발생주의는 거래나 경제적 사건 발생 시점을 기준으로 수익과 비용을 인식합니다."
TRAIN_033,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,일반정부 부채의 산출기준은?,"국가채무 추계 대상에 비영리공공기관을 더해, 발생주의 기준으로 순계 합산하여 산출하며, OECD, IMF의 기준에 부합하는 통계로 국제비교에 활용한다."
TRAIN_034,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,추가경정예산은 2008년 이후 몇 번의 추가경정예산이 편성되었는가?,16회
TRAIN_035,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2022년에는 어떤 분야에 민생경제 지원을 위해 가장 많은 예산이 배분되었는가?,2022년에는 민생경제 지원을 위해 산업·중소기업 및 에너지(53.1%) 분야에 가장 많은 예산이 배분되었습니다.
TRAIN_036,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,추가경정예산이란 무엇을 의미하는가?,추가경정예산은 예산 성립 후 법률로 인정되는 사유로 인해 예산에 추가 또는 변경을 가한 예산을 의미합니다.
TRAIN_037,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2007년 시행된 국가재정법에서 추경 편성 사유로 명시된 사항은 무엇인가?,"국가재정법에서 추경 편성 사유로 명시된 사항은 전쟁이나 대규모 재해가 발생한 경우, 경기침체, 대량 실업, 남북 관계의 변화, 경제협력과 같은 대내외 여건에 중대한 변화가 발생하였거나 발생할 우려가 있는 경우, 법령에 따라 국가가 지급하여야 하는 지출이 발생하거나 증가하는 경우에 한정되어 있습니다."
TRAIN_038,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 예산 기준, 지방교부세는 몇 조원이며, 작년 대비 비중이 어떻게 변화했는가?",66.8조원이며 전년 대비 11.3% 감소했다.
TRAIN_039,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,지방교부세는 어떤 목적을 위해 자치단체에 교부되는 재원인가?,지방교부세는 지방자치단체 간 재원 보장과 재정 불균형 완화를 위해 자치단체에 교부하는 재원이다.
TRAIN_040,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,지방교부세는 어떤 세부 항목으로 구성되어 있는가?,"지방교부세는 보통교부세, 특별교부세, 부동산교부세, 소방안전교부세로 구성되어 있다."
TRAIN_041,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,"2024년 교육재정 교부금의 규모는 얼마이고, 전년 대비 추이는 어떠한가?",2024년 교육재정교부금은 73.0조원이며 전년 대비 8.9% 감소하였다.
TRAIN_042,1-1 2024 주요 재정통계 1권,./train_source/1-1 2024 주요 재정통계 1권.pdf,2024년의 교육재정교부금에서 고교 무상교육에 사용한 규모는?,"9,439억원입니다."
